,value
361,78
362,60
363,46
364,70
365,44
366,52
367,52
368,40
369,60
370,134
371,86
372,120
373,106
374,90
375,84
376,110
377,116
378,108
379,140
380,146
381,128
382,170
383,164
384,146
385,108
386,78
387,56
388,56
389,56
390,64
391,88
392,106
393,138
394,210
395,242
396,274
397,224
398,310
399,342
400,310
401,268
402,360
403,404
404,286
405,210
406,222
407,216
408,202
409,176
410,110
411,98
412,84
413,72
414,82
415,114
416,98
417,136
418,136
419,204
420,190
421,196
422,190
423,198
424,244
425,258
426,314
427,216
428,204
429,210
430,196
431,206
432,180
433,164
434,98
435,80
436,46
437,98
438,78
439,90
440,100
441,126
442,270
443,244
444,208
445,196
446,234
447,198
448,168
449,178
450,186
451,180
452,230
453,176
454,198
455,166
456,138
457,150
458,92
459,106
460,70
461,84
462,64
463,60
464,92
465,92
466,100
467,120
468,132
469,110
470,136
471,140
472,140
473,150
474,156
475,152
476,128
477,114
478,158
479,170
480,142
481,124
482,114
483,76
484,46
485,54
486,60
487,58
488,82
489,90
490,128
491,134
492,132
493,116
494,136
495,152
496,146
497,196
498,164
499,186
500,200
501,136
502,144
503,188
504,144
505,102
506,72
507,64
508,60
509,52
510,34
511,50
512,66
513,76
514,74
515,108
516,88
517,80
518,88
519,106
520,110
521,102
522,110
523,110
524,128
525,108
526,104
527,128
528,116
529,90
530,68
531,60
532,30
533,50
534,56
535,48
536,66
537,80
538,84
539,86
540,68
541,86
542,116
543,90
544,114
545,106
546,120
547,122
548,120
549,116
550,152
551,172
552,206
553,132
554,114
555,110
556,70
557,50
558,94
559,102
560,106
561,156
562,290
563,452
564,432
565,336
566,314
567,374
568,314
569,310
570,298
571,356
572,298
573,286
574,258
575,250
576,252
577,154
578,134
579,80
580,80
581,88
582,84
583,80
584,118
585,130
586,226
587,274
588,322
589,256
590,266
591,300
592,282
593,298
594,252
595,278
596,270
597,270
598,266
599,222
600,208
601,210
602,142
603,122
604,102
605,58
606,78
607,118
608,126
609,158
610,244
611,272
612,230
613,220
614,284
615,272
616,254
617,262
618,284
619,246
620,246
621,230
622,208
623,228
624,236
625,162
626,124
627,262
628,286
629,194
630,158
631,182
632,178
633,182
634,228
635,274
636,316
637,376
638,302
639,326
640,242
641,308
642,326
643,292
644,326
645,262
646,306
647,222
648,214
649,208
650,128
651,98
652,102
653,62
654,90
655,98
656,124
657,146
658,180
659,214
660,230
661,182
662,202
663,226
664,220
665,184
666,226
667,218
668,218
669,194
670,176
671,346
672,154
673,140
674,92
675,82
676,56
677,50
678,40
679,58
680,48
681,72
682,82
683,72
684,130
685,88
686,76
687,104
688,106
689,104
690,116
691,106
692,126
693,132
694,150
695,162
696,170
697,88
698,80
699,60
700,56
701,56
702,68
703,52
704,88
705,96
706,128
707,124
708,134
709,106
710,106
711,102
712,108
713,120
714,134
715,140
716,184
717,248
718,292
719,224
720,188
721,136
722,92
723,94
724,84
725,80
726,88
727,112
728,98
729,276
730,328
731,326
732,338
733,284
734,330
735,272
736,262
737,276
738,244
739,268
740,330
741,350
742,320
743,290
744,250
745,174
746,150
747,132
748,100
749,74
750,104
751,112
752,136
753,166
754,294
755,328
756,314
757,252
758,284
759,276
760,272
761,260
762,248
763,248
764,244
765,290
766,222
767,232
768,226
769,172
770,128
771,116
772,88
773,70
774,68
775,94
776,122
777,178
778,198
779,276
780,236
781,212
782,258
783,254
784,212
785,240
786,242
787,240
788,274
789,242
790,252
791,238
792,202
793,202
794,140
795,118
796,86
797,76
798,60
799,98
800,106
801,156
802,128
803,224
804,272
805,206
806,244
807,278
808,220
809,210
810,226
811,214
812,226
813,178
814,226
815,218
816,212
817,160
818,126
819,90
820,74
821,84
822,88
823,86
824,104
825,210
826,388
827,342
828,316
829,276
830,346
831,308
832,342
833,330
834,294
835,254
836,288
837,244
838,216
839,252
840,254
841,196
842,140
843,124
844,98
845,72
846,86
847,64
848,100
849,114
850,138
851,126
852,172
853,134
854,122
855,160
856,160
857,138
858,132
859,162
860,152
861,110
862,138
863,136
864,140
865,90
866,70
867,78
868,50
869,68
870,52
871,66
872,68
873,78
874,118
875,108
876,112
877,102
878,112
879,110
880,132
881,104
882,116
883,124
884,134
885,164
886,152
887,174
888,158
889,70
890,82
891,86
892,52
893,48
894,68
895,84
896,124
897,134
898,196
899,254
900,272
901,302
902,312
903,266
904,232
905,238
906,282
907,232
908,290
909,242
910,270
911,294
912,196
913,146
914,182
915,128
916,92
917,80
918,120
919,126
920,152
921,296
922,346
923,366
924,416
925,336
926,352
927,376
928,326
929,358
930,364
931,350
932,360
933,306
934,348
935,304
936,320
937,296
938,232
939,202
940,140
941,136
942,132
943,140
944,162
945,238
946,282
947,286
948,346
949,288
950,282
951,328
952,304
953,310
954,250
955,320
956,318
957,238
958,306
959,252
960,250
961,266
962,222
963,158
964,90
965,102
966,106
967,130
968,126
969,190
970,224
971,256
972,266
973,256
974,258
975,256
976,244
977,278
978,242
979,246
980,306
981,300
982,208
983,226
984,174
985,184
986,168
987,168
988,98
989,78
990,114
991,138
992,136
993,180
994,226
995,260
996,304
997,262
998,286
999,270
1000,206
1001,234
1002,186
1003,234
1004,282
1005,240
1006,250
1007,260
1008,206
1009,224
1010,168
1011,146
1012,78
1013,4
1014,86
1015,112
1016,134
1017,152
1018,208
1019,186
1020,208
1021,232
1022,192
1023,156
1024,146
1025,124
1026,146
1027,160
1028,168
1029,194
1030,192
1031,206
1032,178
1033,156
1034,122
1035,132
1036,144
1037,130
1038,138
1039,190
1040,170
1041,212
1042,196
1043,180
1044,188
1045,182
1046,180
1047,180
1048,166
1049,124
1050,172
1051,190
1052,208
1053,224
1054,282
1055,266
1056,244
1057,228
1058,214
1059,174
1060,204
1061,180
1062,258
1063,218
1064,244
1065,332
1066,368
1067,390
1068,392
1069,384
1070,390
1071,366
1072,362
1073,320
1074,338
1075,324
1076,312
1077,318
1078,332
1079,304
1080,216
1081,172
1082,168
1083,136
1084,152
1085,122
1086,84
1087,118
1088,124
1089,194
1090,256
1091,270
1092,266
1093,274
1094,308
1095,314
1096,258
1097,252
1098,264
1099,304
1100,264
1101,276
1102,304
1103,282
1104,206
1105,176
1106,140
1107,142
1108,102
1109,102
1110,76
1111,120
1112,142
1113,228
1114,226
1115,278
1116,270
1117,224
1118,282
1119,288
1120,280
1121,280
1122,300
1123,288
1124,254
1125,260
1126,272
1127,254
1128,178
1129,208
1130,170
1131,184
1132,110
1133,118
1134,128
1135,108
1136,120
1137,158
1138,208
1139,236
1140,266
1141,266
1142,288
1143,292
1144,250
1145,262
1146,280
1147,266
1148,270
1149,274
1150,230
1151,240
1152,198
1153,210
1154,146
1155,160
1156,114
1157,102
1158,96
1159,80
1160,130
1161,228
1162,350
1163,342
1164,334
1165,304
1166,374
1167,330
1168,254
1169,240
1170,296
1171,278
1172,308
1173,272
1174,246
1175,276
1176,210
1177,166
1178,140
1179,140
1180,86
1181,106
1182,86
1183,84
1184,110
1185,102
1186,116
1187,162
1188,144
1189,154
1190,148
1191,140
1192,130
1193,156
1194,148
1195,150
1196,146
1197,126
1198,144
1199,144
1200,136
1201,100
1202,86
1203,98
1204,90
1205,56
1206,52
1207,66
1208,76
1209,90
1210,126
1211,118
1212,126
1213,120
1214,108
1215,120
1216,112
1217,118
1218,122
1219,168
1220,156
1221,184
1222,188
1223,198
1224,168
1225,114
1226,156
1227,112
1228,68
1229,50
1230,68
1231,104
1232,112
1233,190
1234,292
1235,320
1236,370
1237,348
1238,340
1239,336
1240,360
1241,376
1242,316
1243,344
1244,346
1245,330
1246,258
1247,272
1248,232
1249,246
1250,178
1251,168
1252,138
1253,102
1254,108
1255,132
1256,144
1257,186
1258,226
1259,234
1260,290
1261,216
1262,352
1263,288
1264,254
1265,254
1266,330
1267,372
1268,340
1269,278
1270,270
1271,244
1272,200
1273,158
1274,142
1275,126
1276,134
1277,90
1278,110
1279,98
1280,106
1281,234
1282,304
1283,346
1284,322
1285,276
1286,300
1287,334
1288,270
1289,360
1290,268
1291,336
1292,258
1293,252
1294,266
1295,222
1296,174
1297,174
1298,140
1299,130
1300,82
1301,58
1302,88
1303,92
1304,92
1305,198
1306,198
1307,234
1308,242
1309,232
1310,256
1311,254
1312,282
1313,312
1314,246
1315,296
1316,260
1317,188
1318,244
1319,174
1320,154
1321,140
1322,102
1323,68
1324,62
1325,76
1326,68
1327,68
1328,82
1329,144
1330,242
1331,242
1332,254
1333,238
1334,266
1335,256
1336,250
1337,190
1338,196
1339,238
1340,172
1341,204
1342,210
1343,186
